KODERS,TTD,TM,DPRS
3173073,456,176,14
3173474,77,161,0
3173521,420,245,12
3173656,156,437,15
3173062,339,178,14
3173543,47,98,13
3173660,105,48,0
3173040,448,709,15
3173014,959,3728,15
3173084,240,99,12
3173580,140,66,13
3173051,295,664,14
3173506,201,117,0
3173025,723,1765,15
3173036,285,492,15
3173441,78,210,12
3173105,214,312,11
3173612,20,17,0
3173496,25,5,0
3173510,20,1,0
3173682,40,11,0
3173116,42,20,0
3173120,94,267,10
3173634,25,6,0
3173623,19,53,2
3173532,34,103,8
3173695,37,54,1
3173671,3,69,4
3173704,0,0,0
3171768,68,87,0
3175326,168,251,0
3175407,162,506,15
3175385,154,173,0
3175016,608,578,15
3175042,164,123,0
3175075,114,63,12
3175352,182,175,0
3175031,168,74,13
3175341,158,175,15
3175374,130,131,14
3175315,106,329,14
3175330,168,336,14
3175396,47,148,12
3175181,75,206,11
3175363,91,47,1
3175409,82,68,0
3175064,200,360,14
3174509,32,20,0
3175408,115,130,10
3175304,53,91,0
3174074,304,721,11
3174416,109,71,10
3174486,110,18,0
3174015,245,301,11
3174431,237,367,14
3174351,219,603,15
3174475,74,14,0
3174052,123,231,0
3174420,88,41,0
3174508,132,420,15
3174026,335,102,15
3174030,77,98,13
3174453,113,175,13
3174041,320,328,7
3174497,27,20,0
3174063,424,906,13
3174260,354,796,15
3174282,354,1091,15
3174527,0,0,0
3174510,52,17,0
3174515,25,143,6
3171791,46,55,6
3171450,68,59,10
3171012,862,1953,15
3171786,166,685,13
3171574,155,119,0
3171798,9,31,9
3171702,103,33,4
3171023,384,212,15
3171781,91,82,9
3171621,52,63,14
3171504,235,252,1
3171785,58,94,11
3171785,122,114,0
3171034,174,96,0
3171643,52,132,8
3171072,134,345,13
3171515,151,14,1
3171045,155,168,12
3171665,180,25,9
3171632,73,46,11
3171461,142,89,14
3171680,75,84,6
3171782,32,18,5
3171746,60,114,12
3171724,69,143,1
3171413,76,39,0
3171060,52,28,0
3171552,26,12,0
3171216,46,10,0
3171713,77,85,9
3171784,71,41,11
3171511,34,71,0
3171757,55,64,9
3171083,39,9,0
31717835,63,95,11
3171424,24,66,9
3171286,42,90,12
3172531,78,142,12
3172553,221,137,13
3172590,84,79,10
3172505,227,154,0
3172083,94,141,12
3172035,125,58,13
3172206,280,153,0
3172061,165,135,13
3172024,345,92,2
3172094,238,180,0
3172520,112,220,7
3172724,265,480,8
3172126,315,535,14
3172767,0,0,0
31727475,61,50,12
31727475,152,331,14
3172516,90,87,12
3172013,605,1310,15
3172713,96,103,10
3172702,95,71,13
3172750,50,61,10
3171435,100,189,8
3172746,25,0,0
3172735,52,15,1
3172748,76,218,12
31727565,31,55,1
3172137,50,0,0
3172243,148,482,0
3172759,52,67,10
3172752,41,21,0
31727555,56,4,0
3172301,53,127,11
3101002,13,5,0
3172749,149,562,12
3173014,919,3673,15
31717895,94,137,3
3172072,1163,865,15
3172520,112,220,7
3173645,112,137,13
31727535,117,294,12
3173696,61,139,13
3172758,78,185,13
3174522,254,220,13
3173706,136,188,2
3171790,34,120,12
3172050,88,68,8
3172757,110,161,12
3175414,15,29,0
3174518,51,76,12
3171795,522,277,1
3174523,31,47,0
3173705,33,67,5
3171610,40,1,0
3171676,50,1,0
3173131,52,4,0
3173244,44,1,0
3173372,35,1,0
3174395,68,4,0
3174405,50,13,0
3172751,8,2,0
31745165,46,36,10
3173697,2,129,3
3174529,0,0,0
3173699,28,57,4
3175410,40,53,11
3172760,45,68,12
3175411,35,72,11
3173698,39,29,2
3175412,54,79,10
3171792,30,29,5
3173701,38,84,3
3171793,39,0,0
3172761,29,27,0
3174519,0,52,9
3173700,42,72,8
3175413,37,56,11
3174517,32,3,3
3171796,26,57,0
3172765,22,45,9
3175416,37,0,11
3174525,54,0,0
317541,32,28,6
3171800,61,72,9
3171801,48,64,8
3173707,8,37,8
3171802,0,0,0
3172769,0,0,0
3172770,0,0,0
3271104,312,578,12
3271126,91,297,12
3271164,127,141,12
3201218,148,141,4
3271013,336,124,13
3201251,63,129,13
3271115,117,121,14
3201236,113,88,12
3271163,69,104,12
3271046,707,645,13
3271072,125,117,12
3271161,92,93,8
3201241,36,64,5
3271024,221,179,9
3271162,60,29,9
3201240,43,59,12
3201243,28,19,6
3271166,27,32,11
3201126,159,331,13
3201061,140,93,10
3201185,237,370,14
3276041,119,90,13
3201035,141,275,13
3276146,140,292,13
3276017,242,448,12
3276028,203,437,14
3201013,61,47,9
3201072,141,325,11
3201196,107,222,9
3276124,93,161,9
3276135,65,137,10
3276039,90,134,11
3276150,38,88,10
3276151,118,177,11
3276152,77,91,12
3201141,83,113,6
3276147,57,68,10
32761495,41,73,11
3276153,46,60,12
3276154,91,83,12
3603010,476,989,14
3671065,360,127,0
3671080,179,520,12
3671043,139,387,14
3671146,193,207,9
3671203,234,496,15
3671205,187,333,12
3671126,109,191,12
3671135,96,75,11
3671136,100,306,13
3671208,219,390,13
3671210,102,61,12
3671032,239,344,13
3671076,122,305,8
3671124,96,165,9
3671082,53,45,10
3671204,139,56,4
3671207,92,40,0
3671209,116,56,0
3671211,63,94,12
3671021,71,121,11
3671091,25,0,0
3671202,60,73,9
3671214,0,0,0
3671217,36,38,11
3671218,31,45,11
3671219,38,20,12
3671221,42,36,8
3671222,29,32,9
3671223,136,91,11
3275115,292,647,15
3216218,143,74,11
3216329,122,96,10
3275130,138,96,11
3275392,267,493,14
3275062,71,81,13
3275024,121,96,9
3275050,107,184,12
3275094,289,558,14
3216174,108,42,11
3275196,124,77,12
3275207,112,109,9
3275263,70,48,11
3216285,108,203,12
3216362,119,120,0
3275373,124,376,15
3275013,601,606,15
3725061,70,144,10
3275083,81,83,9
3275229,125,190,12
3275296,51,59,10
3275307,81,135,12
3275035,54,38,10
3275141,73,162,12
3275390,38,38,9
3216402,155,58,11
3216423,65,78,12
3275274,74,140,12
3275017,66,59,11
3275039,45,68,11
3275052,55,88,12
3275046,182,114,15
3216389,102,75,12
3216396,33,20,12
32754035,30,50,11
3275053,55,31,6
3216427,67,28,11
3275057,53,40,10
3216429,28,20,8
3275060,81,59,12
3275063,0,0,0
3275064,0,0,0
3674102,205,634,15
3674113,161,605,15
3674018,134,339,15
3603060,114,203,12
3603082,68,135,12
3603115,165,375,14
3674005,186,316,13
3674014,79,171,12
3674157,98,192,14
3674168,145,329,13
3674006,69,202,12
3674007,96,328,12
3674056,81,99,12
3603201,38,64,8
3674004,86,161,12
3674009,55,80,12
3674012,79,95,12
3674016,72,99,12
3603034,40,3,0
3674071,60,12,3
3603093,30,37,12
3674193,110,143,11
3674003,63,16,9
3674171,88,86,11
3674008,20,31,7
3674011,30,33,11
3674013,73,84,3
3674015,32,36,12
3671216,88,79,12
3674019,27,33,10
